"","ID1","ID2","MHCAll_perc_similar","MHCI_perc_similar","MHCII_perc_similar","KINSHIP","MHCall_common","MHCall_unique","MHCI_common","MHCI_unique","MHCII_common","MHCII_unique","Supertypeall_common","Supertypesall_unique","SupertypeAB_common","SupertypesAB_unique","SupertypeII_common","SupertypesII_unique"
"206","6","1",0.1613,0.2941,0,-0.0339533,5,31,5,17,0,14,9,18,7,11,2,7
"207","6","2",0.3077,0.25,0.4,-0.121339,8,26,4,16,4,10,8,16,6,10,2,6
"208","6","3",0.4583,0.6429,0.2,-0.082446,11,24,9,14,2,10,12,16,9,10,3,6
"209","6","4",0.0968,0.1053,0.0833,-0.0411193,3,31,2,19,1,12,9,17,7,11,2,6
"210","6","5",0.4231,0.5625,0.2,0.00227842,11,26,9,16,2,10,9,16,7,11,2,5
"211","7","1",0.1667,0.2941,0,-0.0459562,5,30,5,17,0,13,9,18,7,10,2,8
"212","7","2",0.1786,0.3333,0,-0.133988,5,28,5,15,0,13,7,17,5,10,2,7
"213","7","3",0.4167,0.5333,0.2222,-0.0387733,10,24,8,15,2,9,10,18,7,11,3,7
"214","7","4",0.0645,0.05,0.0909,-0.0948802,2,31,1,20,1,11,10,16,7,10,3,6
"215","7","5",0.3333,0.3889,0.2222,-0.0738429,9,27,7,18,2,9,9,16,7,10,2,6
"216","7","6",0.3462,0.4118,0.2222,0.0458316,9,26,7,17,2,9,10,16,8,11,2,5
"217","8","1",0.3462,0.3333,0.3636,-0.0539865,9,26,5,15,4,11,9,15,6,9,3,6
"218","8","2",0.1379,0.0588,0.25,-0.133254,4,29,1,17,3,12,5,16,3,10,2,6
"219","8","3",0.0625,0.1053,0,0.0660721,2,32,2,19,0,13,7,18,5,11,2,7
"220","8","4",0.1379,0.1176,0.1667,-0.100036,4,29,2,17,2,12,8,15,5,10,3,5
"221","8","5",0.1613,0.15,0.1818,-0.0169602,5,31,3,20,2,11,7,15,4,11,3,4
"222","8","6",0.25,0.2222,0.3,-0.0778081,7,28,4,18,3,10,7,16,6,11,1,5
"223","8","7",0.0968,0.1579,0,-0.0742092,3,31,3,19,0,12,7,16,6,10,1,6
"224","9","1",0.0968,0.1579,0,-0.194724,3,31,3,19,0,12,8,18,6,12,2,6
"225","9","2",0.28,0.1765,0.5,-0.206478,7,25,3,17,4,8,7,16,5,11,2,5
"226","9","3",0.1,0.15,0,-0.204678,3,30,3,20,0,10,10,17,8,11,2,6
"227","9","4",0.1852,0.3125,0,-0.176989,5,27,5,16,0,11,9,16,8,10,1,6
"228","9","5",0.129,0.1905,0,-0.128961,4,31,4,21,0,10,9,15,8,10,1,5
"229","9","6",0.2593,0.1429,0.6667,-0.0502255,7,27,3,21,4,6,11,14,9,11,2,3
"230","9","7",0.1786,0.2632,0,-0.203657,5,28,5,19,0,9,9,16,8,11,1,5
"231","9","8",0.1786,0.1,0.375,-0.193814,5,28,2,20,3,8,6,16,5,12,1,4
